No.,Title,arXiv,Category,Subtopic,Stage,Tags,Problem,Core idea,Why it matters,Figure
1,"Safety in Embodied AI: A Survey of Risks, Attacks, and Defenses",2605.02900,00. Surveys & Frameworks,全景综述,Survey,Survey | Taxonomy | Embodied AI,具身安全研究横跨感知、推理、规划、动作和智能体系统，攻击与防御类型又彼此交织，缺少统一入口。,系统梳理 500 余篇工作，将具身能力层与 adversarial attack、backdoor、jailbreak、sensor attack、defense 等风险/方法对应起来。,适合作为整个方向的“地图”：先建立全景，再定位某个具体攻击面或保障机制。,assets/figures/01_safety-in-embodied-ai-a-survey-of-risks-attacks-and-defenses.png
2,Safe Embodied AI for Long-horizon Tasks: A Cross-layer Analysis of Robotic Manipulation,2606.05660,00. Surveys & Frameworks,长时程跨层安全,Survey / Framework,Long-horizon | Cross-layer | Manipulation,长时程操作中的风险往往不是单点故障，而是早期 grounding / planning 小误差在后续接触执行中逐步累积。,按干预位置把研究组织为 planning-time、policy-time、execution-time，并区分 formal guarantee、statistical support 与 empirical heuristic。,把“安全机制放在哪里”与“证据有多强”同时纳入 taxonomy，特别适合分析闭环可信执行。,assets/figures/02_safe-embodied-ai-for-long-horizon-tasks-a-cross-layer-analysis-of-roboti.png
3,"What Breaks Embodied AI Security: LLM Vulnerabilities, CPS Flaws, or Something Else?",2602.17345,00. Surveys & Frameworks,闭环系统失配,Survey / System View,LLM | CPS | Closed-loop,只用 LLM 安全或传统 CPS 安全解释具身系统都不够：语义正确的动作仍可能在物理世界造成危险。,从感知—决策/推理—规划/控制—物理本体四层系统出发，归纳 semantic–physical mismatch、state-dependent consequences、误差闭环放大、非组合安全四个根因。,把具身安全从“组件是否正确”提升到“跨层系统是否可信”，是三层分类的理论基础。,assets/figures/03_what-breaks-embodied-ai-security-llm-vulnerabilities-cps-flaws-or-someth.png
4,JailWAM: Jailbreaking World Action Models in Robot Control,2604.05498,01. Malicious Attacks & Defense,指令越狱 / WAM,Attack + Evaluation,WAM | Jailbreak | Physical Risk,传统越狱评测只判断文本/图像是否违规，无法直接说明 WAM 产生的机器人动作是否真的危险。,把不同动作格式统一恢复为三维轨迹并可视化，用 VLM 风险判别器分级，再以开环筛选 + 闭环验证降低评测成本。,将 jailbreak 的成功标准从“模型被说服”推进到“物理轨迹产生真实风险”。,assets/figures/04_jailwam-jailbreaking-world-action-models-in-robot-control.png
5,BadWAM: When World-Action Models Dream Right but Act Wrong,2607.15207,01. Malicious Attacks & Defense,WAM 想象-动作完整性攻击,Attack,WAM | Black-box Attack | Integrity,WAM 可能“想象得对、动作却错”，因此只检查预测未来并不能保证执行安全。,在黑盒查询条件下优化视觉扰动：最大化动作偏差，同时约束 imagined future 尽量保持与 clean prediction 一致。,揭示 world prediction 与 action generation 之间存在新的完整性攻击面，也提醒未来画面不能成为唯一 safety signal。,assets/figures/05_badwam-when-world-action-models-dream-right-but-act-wrong.png
6,Attacking the Trusted Imagination: Oracle-Level Integrity Attacks on Imagine-then-Act World Models,2606.22966,01. Malicious Attacks & Defense,世界模型完整性攻击,Attack + Detection,WAM | World Model | Oracle,同一个 imagined future 对 reactive policy 可能只是内部特征，但对 MPC / safety gate / verifier 却可能是被直接信任的“未来事实”。,对白盒 observation→imagination 通路做 PGD 完整性攻击，并利用被污染 imagination 的 off-manifold 特性构造无需额外训练的 denoiser consistency detector。,最关键的结论是 policy robust ≠ oracle robust：依赖世界模型想象的下游模块需要独立可信保障。,assets/figures/06_attacking-the-trusted-imagination-oracle-level-integrity-attacks-on-imag.png
7,When to Trust Imagination: Adaptive Action Execution for World Action Models,2605.06222,03. Decision Anomaly Detection & Assurance,想象-现实一致性验证,Runtime Verification,WAM | Adaptive Execution | Replanning,固定 action chunk 长度无法同时兼顾效率和可靠性：执行越长越省推理，但误差越容易累积。,用 FFDC verifier 联合比较预测动作、预测未来画面、真实观测和语言指令；可信则继续 rollout，不可信则提前停止并重新规划。,把 world model 的 imagined future 从“生成中间量”变成“执行期预期”，形成自然的闭环自验证信号。,assets/figures/07_when-to-trust-imagination-adaptive-action-execution-for-world-action-mod.png
8,Tex3D: Objects as Attack Surfaces via Adversarial 3D Textures for Vision-Language-Action Models,2604.01618,01. Malicious Attacks & Defense,物理视觉攻击 / 3D 纹理,Physical Attack,VLA | 3D Texture | Physical Attack,传统 2D patch 容易随视角、遮挡和物体姿态变化失效，难以在真实操作轨迹中持续攻击。,将被操作物体表面作为攻击载体，用 foreground/background decoupling 建立可微渲染通路，并进行 trajectory-aware 关键帧加权优化。,把 VLA adversarial attack 从数字像素扰动推进到可跨视角、可打印/可实现的 3D 物理攻击。,assets/figures/08_tex3d-objects-as-attack-surfaces-via-adversarial-3d-textures-for-vision-.png
9,TRAP: Hijacking VLA CoT-Reasoning via Adversarial Patches,2603.23117,01. Malicious Attacks & Defense,物理补丁 / CoT 劫持,Physical Attack,VLA | CoT | Adversarial Patch,让 VLA 随机失败并不等于获得行为控制；推理型 VLA 的 CoT / 中间计划本身可能是更强的劫持入口。,优化可打印 patch，使模型先生成攻击者指定的目标物体、子任务或轨迹，再同时约束底层 action 跟随被劫持的推理。,说明“可解释的中间推理”也可能成为攻击面：一旦 CoT 被改写，动作头会继续执行错误计划。,assets/figures/09_trap-hijacking-vla-cot-reasoning-via-adversarial-patches.png
10,VLA-Hijack: A Transferable Patch Attack against Vision-Language-Action Models via Visual Proprioception Hijacking,2605.28083,01. Malicious Attacks & Defense,视觉本体感知劫持,Physical Attack,VLA | Proprioception | Transferability,直接对动作头做 patch attack 容易过拟合具体架构，跨模型迁移性有限。,压制真实机械臂区域的视觉特征，同时把攻击 patch 对齐到“robot arm”的语义和视觉原型，让模型把 patch 当成虚假的自身位置。,利用不同 VLA 共享的视觉本体定位需求，攻击更接近架构共性而非特定 action head。,assets/figures/10_vla-hijack-a-transferable-patch-attack-against-vision-language-action-mo.png
