编号,论文,arXiv,一级目录,二级方向,摘要页,PDF直链
1,"Safety in Embodied AI: A Survey of Risks, Attacks, and Defenses",2605.02900,00_总览框架,全景综述,https://arxiv.org/abs/2605.02900,https://arxiv.org/pdf/2605.02900.pdf
2,Safe Embodied AI for Long-horizon Tasks: A Cross-layer Analysis of Robotic Manipulation,2606.05660,00_总览框架,长时程跨层安全,https://arxiv.org/abs/2606.05660,https://arxiv.org/pdf/2606.05660.pdf
3,"What Breaks Embodied AI Security: LLM Vulnerabilities, CPS Flaws, or Something Else?",2602.17345,00_总览框架,闭环系统失配,https://arxiv.org/abs/2602.17345,https://arxiv.org/pdf/2602.17345.pdf
4,JailWAM: Jailbreaking World Action Models in Robot Control,2604.05498,01_恶意攻击防御,指令越狱_WAM,https://arxiv.org/abs/2604.05498,https://arxiv.org/pdf/2604.05498.pdf
5,BadWAM: When World-Action Models Dream Right but Act Wrong,2607.15207,01_恶意攻击防御,WAM想象动作完整性攻击,https://arxiv.org/abs/2607.15207,https://arxiv.org/pdf/2607.15207.pdf
6,Attacking the Trusted Imagination: Oracle-Level Integrity Attacks on Imagine-then-Act World Models,2606.22966,01_恶意攻击防御,世界模型完整性攻击,https://arxiv.org/abs/2606.22966,https://arxiv.org/pdf/2606.22966.pdf
7,When to Trust Imagination: Adaptive Action Execution for World Action Models,2605.06222,03_黑盒决策异常与保障,想象现实一致性验证,https://arxiv.org/abs/2605.06222,https://arxiv.org/pdf/2605.06222.pdf
8,Tex3D: Objects as Attack Surfaces via Adversarial 3D Textures for Vision-Language-Action Models,2604.01618,01_恶意攻击防御,物理视觉攻击,https://arxiv.org/abs/2604.01618,https://arxiv.org/pdf/2604.01618.pdf
9,TRAP: Hijacking VLA CoT-Reasoning via Adversarial Patches,2603.23117,01_恶意攻击防御,物理补丁_CoT劫持,https://arxiv.org/abs/2603.23117,https://arxiv.org/pdf/2603.23117.pdf
10,VLA-Hijack: A Transferable Patch Attack against Vision-Language-Action Models via Visual Proprioception Hijacking,2605.28083,01_恶意攻击防御,本体感知劫持,https://arxiv.org/abs/2605.28083,https://arxiv.org/pdf/2605.28083.pdf
11,FreezeVLA: Action-Freezing Attacks against Vision-Language-Action Models,2509.19870,01_恶意攻击防御,冻结攻击,https://arxiv.org/abs/2509.19870,https://arxiv.org/pdf/2509.19870.pdf
12,When Alignment Fails: Multimodal Adversarial Attacks on Vision-Language-Action Models,2511.16203,01_恶意攻击防御,多模态对抗错配,https://arxiv.org/abs/2511.16203,https://arxiv.org/pdf/2511.16203.pdf
